Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
01/15/2021,DJX210115C00190000,0,0,109.3,113.7,0,0,0.9976,0.0001,0,190.000,DJX210115P00190000,0,0,0,0.16,0,0.5462,-0.0043,0.0002,179
01/15/2021,DJX210115C00195000,0,0,104.55,108.7,0,0,0.9975,0.0002,0,195.000,DJX210115P00195000,0,0,0,0.17,0,0.5232,-0.0048,0.0003,34
01/15/2021,DJX210115C00200000,0,0,99.55,103.7,0,0,0.9974,0.0002,0,200.000,DJX210115P00200000,0,0,0,0.17,0,0.4945,-0.005,0.0003,38
01/15/2021,DJX210115C00205000,0,0,94.35,98.75,0,0,0.9946,0.0003,0,205.000,DJX210115P00205000,0,0,0,0.18,0,0.4709,-0.0056,0.0003,0
01/15/2021,DJX210115C00210000,0,0,89.6,93.75,0,0,0.9942,0.0004,0,210.000,DJX210115P00210000,0.15,0,0,0.19,0,0.4469,-0.0061,0.0004,40
01/15/2021,DJX210115C00215000,0,0,84.4,88.75,0,0,0.9914,0.0005,0,215.000,DJX210115P00215000,0,0,0,0.2,0,0.4244,-0.0069,0.0004,0
01/15/2021,DJX210115C00220000,0,0,79.65,83.8,0,0,0.9952,0.0004,1,220.000,DJX210115P00220000,0,0,0,0.22,0,0.4023,-0.0077,0.0005,11
01/15/2021,DJX210115C00225000,0,0,74.7,78.85,0,0,0.9949,0.0004,0,225.000,DJX210115P00225000,0,0,0,0.25,0,0.3834,-0.0092,0.0006,22
01/15/2021,DJX210115C00230000,0,0,69.75,73.9,0,0.2557,0.9993,0.0001,0,230.000,DJX210115P00230000,0.22,0,0.05,0.3,0,0.3747,-0.0127,0.0009,155
01/15/2021,DJX210115C00235000,0,0,64.85,68.95,0,0.314,0.9925,0.0006,1,235.000,DJX210115P00235000,0.47,0,0.06,0.41,0,0.3644,-0.0171,0.0012,400
01/15/2021,DJX210115C00240000,0,0,59.95,64,0,0.3174,0.9865,0.0011,0,240.000,DJX210115P00240000,0.4,0,0.11,0.53,0,0.3544,-0.023,0.0015,91
01/15/2021,DJX210115C00241000,0,0,58.95,63,0,0.3124,0.9863,0.0011,0,241.000,DJX210115P00241000,0,0,0.13,0.56,0,0.3531,-0.0246,0.0016,0
01/15/2021,DJX210115C00242000,0,0,58,62,0,0.3137,0.9846,0.0012,0,242.000,DJX210115P00242000,0.65,0,0.14,0.58,0,0.3502,-0.0258,0.0017,10
01/15/2021,DJX210115C00243000,0,0,57,61.05,0,0.3146,0.9827,0.0013,0,243.000,DJX210115P00243000,0,0,0.17,0.6,0,0.3486,-0.0274,0.0018,0
01/15/2021,DJX210115C00244000,0,0,56,60.05,0,0.3096,0.9824,0.0014,0,244.000,DJX210115P00244000,0,0,0.18,0.63,0,0.3461,-0.0289,0.0019,0
01/15/2021,DJX210115C00245000,0,0,55.05,59.05,0,0.3105,0.9804,0.0015,1,245.000,DJX210115P00245000,0.44,0,0.2,0.65,0,0.3434,-0.0303,0.002,62
01/15/2021,DJX210115C00246000,0,0,54.05,58.1,0,0.3102,0.9785,0.0016,0,246.000,DJX210115P00246000,0,0,0.22,0.68,0,0.3413,-0.0321,0.0021,0
01/15/2021,DJX210115C00247000,0,0,53.1,57.1,0,0.3094,0.9767,0.0018,0,247.000,DJX210115P00247000,0.8,0,0.24,0.7,0,0.3383,-0.0336,0.0022,10
01/15/2021,DJX210115C00248000,0,0,52.1,56.1,0,0.3042,0.9763,0.0018,0,248.000,DJX210115P00248000,0,0,0.26,0.73,0,0.3359,-0.0354,0.0023,0
01/15/2021,DJX210115C00249000,0,0,51.15,55.15,0,0.3071,0.9729,0.002,0,249.000,DJX210115P00249000,0,0,0.29,0.76,0,0.3338,-0.0374,0.0024,0
01/15/2021,DJX210115C00250000,0,0,50.2,54.15,0,0.3055,0.971,0.0021,0,250.000,DJX210115P00250000,0.56,-0.145,0.31,0.79,1,0.3311,-0.0393,0.0025,274
01/15/2021,DJX210115C00251000,0,0,49.25,53.2,0,0.3071,0.9677,0.0023,0,251.000,DJX210115P00251000,0,0,0.32,0.82,0,0.3276,-0.0409,0.0027,5
